# RadiaCode Energy Calibration Export
# Device: fbc3fad9-3dc5-4e30-8e11-629b07b15146
# Export Time: 2026-01-25 18:39:19
#
# Calibration Coefficients (Energy = a0 + a1*channel + a2*channel^2):
# a0 (offset) = 3.5093544 keV
# a1 (linear) = 2.3624456 keV/channel
# a2 (quadratic) = 4.0645464E-4 keV/channel^2
#
Channel,Energy_keV
723,1924.0232
724,1926.9739
725,1929.9252
726,1932.8774
727,1935.8304
728,1938.7842
729,1941.7388
730,1944.6945
731,1947.6506
732,1950.6077
733,1953.5657
734,1956.5243
735,1959.4839
736,1962.4442
737,1965.4054
738,1968.3673
739,1971.3301
740,1974.2937
741,1977.2581
742,1980.2233
743,1983.1895
744,1986.1563
745,1989.1239
746,1992.0923
747,1995.0615
748,1998.0316
749,2001.0027
750,2003.9744
751,2006.9469
752,2009.9202
753,2012.8943
754,2015.8693
755,2018.8451
756,2021.8218
757,2024.7992
758,2027.7773
759,2030.7563
760,2033.7362
761,2036.7169
762,2039.6985
763,2042.6807
764,2045.6638
765,2048.6477
766,2051.6323
767,2054.6179
768,2057.6042
769,2060.5916
770,2063.5796
771,2066.5684
772,2069.5579
773,2072.5483
774,2075.5396
775,2078.5315
776,2081.5244
777,2084.5181
778,2087.5125
779,2090.5078
780,2093.5039
781,2096.5010
782,2099.4985
783,2102.4971
784,2105.4966
785,2108.4966
786,2111.4976
787,2114.4995
788,2117.5022
789,2120.5056
790,2123.5098
791,2126.5149
792,2129.5208
793,2132.5273
794,2135.5349
795,2138.5432
796,2141.5522
797,2144.5623
798,2147.5730
799,2150.5845
800,2153.5967
801,2156.6101
802,2159.6240
803,2162.6389
804,2165.6543
805,2168.6709
806,2171.6880
807,2174.7063
808,2177.7251
809,2180.7446
810,2183.7651
811,2186.7866
812,2189.8086
813,2192.8315
814,2195.8555
815,2198.8799
816,2201.9053
817,2204.9314
818,2207.9585
819,2210.9863
820,2214.0149
821,2217.0444
822,2220.0747
823,2223.1057
824,2226.1375
825,2229.1702
826,2232.2036
827,2235.2380
828,2238.2732
829,2241.3091
830,2244.3457
831,2247.3833
832,2250.4219
833,2253.4609
834,2256.5010
835,2259.5417
836,2262.5835
837,2265.6260
838,2268.6692
839,2271.7131
840,2274.7581
841,2277.8037
842,2280.8503
843,2283.8977
844,2286.9458
845,2289.9946
846,2293.0444
847,2296.0950
848,2299.1465
849,2302.1987
850,2305.2517
851,2308.3054
852,2311.3601
853,2314.4155
854,2317.4719
855,2320.5288
856,2323.5867
857,2326.6455
858,2329.7048
859,2332.7654
860,2335.8264
861,2338.8884
862,2341.9512
863,2345.0146
864,2348.0791
865,2351.1443
866,2354.2102
867,2357.2769
868,2360.3447
869,2363.4133
870,2366.4824
871,2369.5527
872,2372.6233
873,2375.6951
874,2378.7676
875,2381.8411
876,2384.9153
877,2387.9900
878,2391.0659
879,2394.1423
880,2397.2200
881,2400.2979
882,2403.3772
883,2406.4570
884,2409.5376
885,2412.6191
886,2415.7012
887,2418.7844
888,2421.8684
889,2424.9531
890,2428.0386
891,2431.1248
892,2434.2122
893,2437.3000
894,2440.3889
895,2443.4785
896,2446.5688
897,2449.6602
898,2452.7520
899,2455.8450
900,2458.9385
901,2462.0330
902,2465.1284
903,2468.2244
904,2471.3213
905,2474.4189
906,2477.5176
907,2480.6167
908,2483.7170
909,2486.8181
910,2489.9199
911,2493.0225
912,2496.1257
913,2499.2300
914,2502.3352
915,2505.4409
916,2508.5479
917,2511.6550
918,2514.7634
919,2517.8723
920,2520.9824
921,2524.0933
922,2527.2046
923,2530.3171
924,2533.4302
925,2536.5442
926,2539.6589
927,2542.7747
928,2545.8911
929,2549.0083
930,2552.1265
931,2555.2451
932,2558.3647
933,2561.4851
934,2564.6067
935,2567.7288
936,2570.8516
937,2573.9753
938,2577.0999
939,2580.2253
940,2583.3516
941,2586.4785
942,2589.6064
943,2592.7349
944,2595.8643
945,2598.9944
946,2602.1255
947,2605.2576
948,2608.3901
949,2611.5237
950,2614.6577
951,2617.7930
952,2620.9287
953,2624.0657
954,2627.2034
955,2630.3416
956,2633.4810
957,2636.6206
958,2639.7617
959,2642.9031
960,2646.0457
961,2649.1890
962,2652.3330
963,2655.4778
964,2658.6235
965,2661.7700
966,2664.9175
967,2668.0654
968,2671.2144
969,2674.3640
970,2677.5146
971,2680.6660
972,2683.8184
973,2686.9714
974,2690.1250
975,2693.2798
976,2696.4351
977,2699.5913
978,2702.7483
979,2705.9063
980,2709.0649
981,2712.2244
982,2715.3848
983,2718.5459
984,2721.7080
985,2724.8706
986,2728.0342
987,2731.1987
988,2734.3638
989,2737.5298
990,2740.6965
991,2743.8643
992,2747.0327
993,2750.2019
994,2753.3721
995,2756.5430
996,2759.7146
997,2762.8870
998,2766.0605
999,2769.2346
1000,2772.4094
1001,2775.5854
1002,2778.7617
1003,2781.9392
1004,2785.1172
1005,2788.2964
1006,2791.4763
1007,2794.6567
1008,2797.8384
1009,2801.0205
1010,2804.2036
1011,2807.3875
1012,2810.5723
1013,2813.7578
1014,2816.9441
1015,2820.1313
1016,2823.3191
1017,2826.5081
1018,2829.6978
1019,2832.8879
1020,2836.0793
1021,2839.2712
1022,2842.4641
1023,2845.6577
